🐍  Python Training 2026 — Batch 2,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
#,Topic,Sub-Topic,Planned Date,Actual Date,Status,Resources / Notes,Trainer Notes,,,,,,,,,,,,,,,,,,
1,PYTHON DATATYPES,,,,,,,,,,,,,,,,,,,,,,,,
,,"Primitive: int, float, string",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"List – mutability, indexing, slicing",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"Tuple – immutability, packing/unpacking",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"Dictionary – key-value, hashing",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"Set & Frozenset – uniqueness, hashing",,,Not Started,,,,,,,,,,,,,,,,,,,,
2,OPERATORS,,,,,,,,,,,,,,,,,,,,,,,,
,,Arithmetic: + - * / % // **,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Comparison & Logical operators,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Identity (is / is not) & Membership (in / not in),,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Bitwise operators,,,Not Started,,,,,,,,,,,,,,,,,,,,
3,CONDITIONAL & FLOW CONTROL,,,,,,,,,,,,,,,,,,,,,,,,
,,if / elif / else,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"for loop – iteration, range()",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"while loop – condition, break, continue",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"pass, else clause in loops",,,Not Started,,,,,,,,,,,,,,,,,,,,
4,COMPREHENSIONS,,,,,,,,,,,,,,,,,,,,,,,,
,,List comprehension,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Set comprehension,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Dictionary comprehension,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Generator expression,,,Not Started,,,,,,,,,,,,,,,,,,,,
5,PYTHON FUNCTIONS,,,,,,,,,,,,,,,,,,,,,,,,
,,Positional & Keyword arguments,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,*args and **kwargs,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Recursion,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Anonymous / Lambda functions,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Local and global scope (LEGB rule),,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Closures,,,Not Started,,,,,,,,,,,,,,,,,,,,
6,BUILT-IN FUNCTIONS,,,,,,,,,,,,,,,,,,,,,,,,
,,"map(), filter(), reduce()",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"zip(), enumerate()",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"type(), id(), isinstance()",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"range(), len(), sorted(), reversed()",,,Not Started,,,,,,,,,,,,,,,,,,,,
7,OOP CONCEPTS,,,,,,,,,,,,,,,,,,,,,,,,
,,"Class & Object, __init__, self",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"Inheritance – single, multiple, MRO",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"Encapsulation – private, protected",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Polymorphism – method overriding,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Abstract classes (abc module),,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Dunder / Magic methods,,,Not Started,,,,,,,,,,,,,,,,,,,,
8,DECORATORS,,,,,,,,,,,,,,,,,,,,,,,,
,,Function decorators,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Class decorators,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,functools.wraps,,,Not Started,,,,,,,,,,,,,,,,,,,,
9,DESCRIPTORS,,,,,,,,,,,,,,,,,,,,,,,,
,,"__get__, __set__, __delete__",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Property vs descriptor,,,Not Started,,,,,,,,,,,,,,,,,,,,
10,GENERATORS & ITERATORS,,,,,,,,,,,,,,,,,,,,,,,,
,,Generator functions (yield),,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Generator state – frame object internals,,,Not Started,https://hackernoon.com/the-magic-behind-python-generator-functions-bc8eeea54220,,,,,,,,,,,,,,,,,,,
,,"Iterator protocol (__iter__, __next__)",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,itertools module,,,Not Started,,,,,,,,,,,,,,,,,,,,
11,TYPING,,,,,,,,,,,,,,,,,,,,,,,,
,,Type hints – basic annotations,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"Optional, Union, List, Dict, Tuple",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"TypeVar, Generic, Protocol",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,mypy for static checking,,,Not Started,,,,,,,,,,,,,,,,,,,,
12,FILE OPERATIONS,,,,,,,,,,,,,,,,,,,,,,,,
,,"open(), read, write, append modes",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Context manager with 'with',,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"CSV, JSON file handling",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,pathlib module,,,Not Started,,,,,,,,,,,,,,,,,,,,
13,EXCEPTION HANDLING,,,,,,,,,,,,,,,,,,,,,,,,
,,try / except / else / finally,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Built-in exceptions hierarchy,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Custom exceptions,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Raising and re-raising exceptions,,,Not Started,,,,,,,,,,,,,,,,,,,,
14,REGULAR EXPRESSIONS,,,,,,,,,,,,,,,,,,,,,,,,
,,"re module – match, search, findall",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"Groups, special sequences",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Lookahead / lookbehind,,,Not Started,,,,,,,,,,,,,,,,,,,,
15,PYTHON COLLECTIONS,,,,,,,,,,,,,,,,,,,,,,,,
,,Counter,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,OrderedDict,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,defaultdict,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,ChainMap,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,namedtuple,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,deque,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"UserDict, UserList, UserString",,,Not Started,,,,,,,,,,,,,,,,,,,,
16,UNIT TESTING,,,,,,,,,,,,,,,,,,,,,,,,
,,"unittest – TestCase, setUp, tearDown",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Order of execution in unit tests,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,assert methods,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Mocking – unittest.mock,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,pytest basics,,,Not Started,,,,,,,,,,,,,,,,,,,,
17,THREADING & GIL,,,,,,,,,,,,,,,,,,,,,,,,
,,"threading module – Thread, Lock",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,Python GIL – what it is and why,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,multiprocessing as GIL workaround,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,concurrent.futures,,,Not Started,,,,,,,,,,,,,,,,,,,,
18,CONTEXT MANAGER,,,,,,,,,,,,,,,,,,,,,,,,
,,contextlib.contextmanager,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,__enter__ / __exit__ protocol,,,Not Started,,,,,,,,,,,,,,,,,,,,
19,ASYNC / AWAIT,,,,,,,,,,,,,,,,,,,,,,,,
,,asyncio – event loop basics,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"async def, await, coroutines",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"asyncio.gather(), asyncio.run()",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,async context managers & iterators,,,Not Started,,,,,,,,,,,,,,,,,,,,
20,VIRTUAL ENVIRONMENT,,,,,,,,,,,,,,,,,,,,,,,,
,,"venv – create, activate, deactivate",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,"pip – install, freeze, requirements.txt",,,Not Started,,,,,,,,,,,,,,,,,,,,
,,pyenv for Python version management,,,Not Started,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  📋  STATUS LEGEND:   ⬜ Not Started   🔵 In Progress   ✅ Completed   🔁 Needs Revisit       RATING: 5 = Excellent  |  4 = Good (minor gaps)  |  3 = Average  |  2 = Below Average  |  1 = Needs Rework,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
