pclass,sex,age,sibsp,parch,family_size,fare,embarked,survived
1,0,20.0,0,0,0,211.3375,0,1
1,1,20.0,1,2,3,151.55,0,1
1,0,20.0,1,2,3,151.55,0,0
1,1,20.0,1,2,3,151.55,0,0
1,0,20.0,1,2,3,151.55,0,0
1,1,20.0,0,0,0,26.55,0,1
1,0,20.0,1,0,1,77.9583,0,1
1,1,20.0,0,0,0,0.0,0,0
1,0,20.0,2,0,2,51.4792,0,1
1,1,20.0,1,0,1,227.525,1,0
1,0,20.0,1,0,1,227.525,1,1
1,0,20.0,0,0,0,69.3,1,1
1,1,20.0,0,0,0,30.0,0,1
1,1,20.0,0,1,1,247.5208,1,0
1,0,20.0,0,1,1,247.5208,1,1
1,0,20.0,0,0,0,76.2917,1,1
1,1,20.0,0,0,0,75.2417,1,0
1,1,20.0,1,1,2,52.5542,0,1
1,0,20.0,1,1,2,52.5542,0,1
1,1,20.0,0,0,0,30.0,1,1
1,0,20.0,0,0,0,221.7792,0,1
1,1,20.0,1,0,1,91.0792,1,1
1,0,20.0,1,0,1,91.0792,1,1
1,0,20.0,0,0,0,135.6333,0,1
1,1,20.0,0,0,0,26.55,0,1
1,1,20.0,0,0,0,35.5,0,0
1,1,20.0,0,0,0,31.0,1,1
1,0,20.0,0,0,0,164.8667,0,1
1,0,20.0,0,0,0,26.55,0,1
1,1,20.0,0,0,0,26.55,0,0
1,0,20.0,0,1,1,55.0,0,1
1,1,20.0,0,0,0,30.5,0,0
1,1,20.0,0,0,0,50.4958,1,0
1,0,20.0,0,0,0,27.7208,1,1
1,0,20.0,2,0,2,51.4792,0,1
1,0,20.0,0,0,0,76.2917,1,1
1,0,20.0,0,0,0,134.5,1,1
1,1,20.0,0,0,0,26.55,0,0
1,1,20.0,0,0,0,26.2875,0,1
1,1,20.0,0,1,1,512.3292,1,1
1,0,20.0,0,1,1,512.3292,1,1
1,1,20.0,0,0,0,5.0,0,0
1,1,20.0,1,2,3,120.0,0,1
1,0,20.0,1,2,3,120.0,0,1
1,1,20.0,1,2,3,120.0,0,1
1,0,20.0,1,2,3,120.0,0,1
1,1,20.0,1,0,1,78.85,0,0
1,0,20.0,1,0,1,78.85,0,1
1,1,20.0,1,0,1,61.175,0,0
1,0,20.0,1,0,1,61.175,0,1
1,1,20.0,1,0,1,53.1,0,1
1,0,20.0,1,0,1,53.1,0,1
1,0,20.0,0,0,0,262.375,1,1
1,0,20.0,0,0,0,86.5,0,1
1,1,20.0,0,0,0,29.7,1,1
1,0,20.0,0,1,1,55.0,0,1
1,1,20.0,1,0,1,136.7792,1,0
1,0,20.0,1,0,1,136.7792,1,1
1,1,20.0,0,0,0,52.0,0,0
1,1,20.0,0,0,0,25.5875,0,0
1,0,20.0,1,1,2,83.1583,1,1
1,1,20.0,1,1,2,83.1583,1,0
1,0,20.0,0,2,2,83.1583,1,1
1,0,20.0,2,0,2,25.7,0,1
1,1,20.0,1,1,2,71.0,0,0
1,0,20.0,0,2,2,71.0,0,1
1,0,20.0,1,1,2,26.55,0,1
1,1,20.0,1,0,1,71.2833,1,0
1,0,20.0,1,0,1,71.2833,1,1
1,1,20.0,0,0,0,26.55,0,1
1,1,20.0,1,0,1,52.0,0,0
1,0,20.0,1,2,3,52.0,0,1
1,1,20.0,1,0,1,57.0,0,1
1,0,20.0,1,0,1,57.0,0,1
1,1,20.0,1,1,2,81.8583,0,1
1,1,20.0,0,2,2,81.8583,0,1
1,0,20.0,1,1,2,81.8583,0,1
1,1,20.0,1,0,1,106.425,1,0
1,0,20.0,1,1,2,247.5208,1,1
1,0,20.0,1,0,1,106.425,1,1
1,0,20.0,1,0,1,39.6,1,1
1,1,20.0,1,0,1,56.9292,1,1
1,1,20.0,0,0,0,29.7,1,0
1,0,20.0,0,1,1,83.1583,1,1
1,0,20.0,0,0,0,227.525,1,1
1,0,20.0,1,0,1,78.2667,1,1
1,0,20.0,0,0,0,31.6792,1,0
1,1,20.0,0,0,0,221.7792,0,0
1,1,20.0,0,0,0,26.3875,0,1
1,1,20.0,0,0,0,27.75,1,0
1,0,20.0,3,2,5,263.0,0,1
1,0,20.0,3,2,5,263.0,0,1
1,0,20.0,3,2,5,263.0,0,1
1,1,20.0,3,2,5,263.0,0,0
1,1,20.0,1,4,5,263.0,0,0
1,0,20.0,1,4,5,263.0,0,1
1,0,20.0,0,0,0,56.9292,1,1
1,1,20.0,0,0,0,26.55,0,0
1,1,20.0,1,0,1,27.7208,1,1
1,0,20.0,0,2,2,49.5,1,1
1,1,20.0,1,1,2,79.2,1,1
1,0,20.0,1,1,2,79.2,1,1
1,1,20.0,0,0,0,0.0,0,0
1,1,20.0,1,0,1,53.1,0,0
1,0,20.0,1,0,1,53.1,0,1
1,1,20.0,0,0,0,38.5,0,0
1,0,20.0,0,0,0,211.5,1,1
1,1,20.0,0,0,0,79.2,1,0
1,1,20.0,1,0,1,89.1042,1,1
1,0,20.0,1,0,1,89.1042,1,1
1,1,20.0,0,0,0,34.6542,1,0
1,1,20.0,0,0,0,28.5,1,1
1,0,20.0,0,0,0,30.0,0,1
1,1,20.0,0,1,1,153.4625,0,0
1,0,20.0,0,1,1,153.4625,0,1
1,1,20.0,0,1,1,63.3583,1,1
1,0,20.0,0,1,1,63.3583,1,1
1,1,20.0,0,0,0,79.2,1,0
1,1,20.0,1,0,1,55.4417,1,1
1,0,20.0,1,0,1,55.4417,1,1
1,1,20.0,1,0,1,76.7292,1,1
1,0,20.0,1,0,1,76.7292,1,1
1,1,20.0,1,0,1,83.475,0,0
1,0,20.0,1,0,1,83.475,0,1
1,1,20.0,0,0,0,0.0,0,0
1,1,20.0,0,0,0,76.7292,1,1
1,1,20.0,0,0,0,30.0,0,1
1,0,20.0,0,0,0,83.1583,1,1
1,1,20.0,1,1,2,93.5,0,0
1,0,20.0,1,1,2,93.5,0,1
1,1,20.0,0,0,0,42.5,0,0
1,1,20.0,0,0,0,51.8625,0,0
1,1,20.0,0,0,0,50.0,0,0
1,0,20.0,0,1,1,57.9792,1,1
1,0,20.0,0,1,1,57.9792,1,1
1,0,20.0,1,0,1,77.9583,0,1
1,1,20.0,1,0,1,90.0,0,1
1,0,20.0,1,0,1,90.0,0,1
1,0,20.0,0,0,0,28.7125,1,0
1,1,20.0,0,0,0,0.0,0,1
1,1,20.0,0,0,0,26.0,0,0
1,1,20.0,0,0,0,211.5,1,0
1,1,20.0,0,0,0,29.7,1,0
1,1,20.0,1,0,1,51.8625,0,0
1,0,20.0,1,0,1,51.8625,0,1
1,1,20.0,1,0,1,52.5542,0,1
1,0,20.0,1,0,1,52.5542,0,1
1,1,20.0,0,0,0,26.55,0,0
1,0,20.0,0,0,0,25.9292,0,1
1,1,20.0,0,0,0,512.3292,1,1
1,0,20.0,0,1,1,39.4,0,1
1,0,20.0,0,1,1,39.4,0,1
1,1,20.0,0,0,0,30.0,0,0
1,0,20.0,0,0,0,77.9583,0,1
1,0,20.0,0,0,0,146.5208,1,1
1,0,20.0,0,1,1,211.3375,0,1
1,1,20.0,0,0,0,26.0,0,0
